,<CONFIDENTIAL>,,,,,,,,,,,,
Normalized Fluorescence signal from 1000-1200 nm,,,,,,Maximum emission cross section,,,,,,,
,LG-770,LG-760,LG-750,APG-1,,LG-770,LG-760,LG-750,APG-1,,,,Prepared by Dr. Tedi-Marie Usher-Ditzian
Wavelength,Normalized,Normalized,Normalized,Normalized,,_em ,_em ,_em ,_em ,,,,SCHOTT R&D North America
l [nm],"Signal, FC(l)","Signal, FC(l)","Signal, FC(l)","Signal, FC(l)",,[10-20 cm2],[10-20 cm2],[10-20 cm2],[10-20 cm2],,,,"Oct 4th, 2021"
1000,-0.000237289,-0.002013111,-0.0013869,-0.000110572,,3.9,4.5,3.7,3.4,,,,
1000.125,0.000384921,0.000191406,0.001251957,-0.000854084,,,,,,,,,
1000.25,-0.000861951,-0.002017495,0.000590709,-0.004567962,,,,,,,,,
1000.375,0.000383287,-0.000916333,-0.000730561,0.002113222,,,,,,,,,
1000.5,0.002251552,-0.000366848,-0.000731788,0.003595658,,,,,,,,,
1000.625,0.000381652,0.002941023,-0.002713079,0.000623764,,,,,,,,,
1000.75,-0.000242192,0.000180444,0.003225884,0.000622234,,,,,,,,,
1000.875,-0.000866037,-0.002028457,-0.00073547,0.000620704,,,,,,,,,
1001,-0.000866854,-0.003685681,-0.001396719,-0.000122808,,,,,,,,,
1001.125,0.000378383,0.001277222,0.001242138,0.000617645,,,,,,,,,
1001.25,-0.001491516,0.002378384,0.00058089,-0.001609834,,,,,,,,,
1001.375,0.002868859,-0.00314058,0.000579663,0.001359002,,,,,,,,,
1001.5,0.000998959,0.000167291,-8.15859E-05,-0.000128927,,,,,,,,,
1001.625,-0.001493968,0.00182013,0.003217293,-0.001614423,,,,,,,,,
1001.75,-0.000871758,0.001817938,0.001896022,0.000609997,,,,,,,,,
1001.875,-0.00211863,-0.003149349,-8.5268E-05,0.000608467,,,,,,,,,
1002,-0.000873392,-0.003151541,-8.64953E-05,-0.001619012,,,,,,,,,
1002.125,-0.001497237,-0.002602056,0.00123232,-0.001620541,,,,,,,,,
1002.25,0.000371028,-0.00039754,-0.001408993,0.002090277,,,,,,,,,
1002.375,-0.000875844,0.002910331,0.000569844,0.002088748,,,,,,,,,
1002.5,-0.001499689,0.000149753,-9.14047E-05,0.001345235,,,,,,,,,
1002.625,0.000991603,-0.000404116,-0.000752653,-0.000884677,,,,,,,,,
1002.75,0.000990786,-0.000406309,-0.002073923,-0.000144223,,,,,,,,,
1002.875,-0.000879113,-0.000960178,-0.001415129,-0.003113685,,,,,,,,,
1003,0.000366125,-0.002617402,0.000563707,0.003565066,,,,,,,,,
1003.125,-0.00025772,-0.001516239,-0.000757563,0.000593171,,,,,,,,,
1003.25,-0.002750647,0.000688277,0.002541316,0.000591642,,,,,,,,,
1003.375,-0.002128437,0.000686085,0.000560025,-0.001635838,,,,,,,,,
1003.5,0.001608911,-0.002074494,0.000558798,0.000588582,,,,,,,,,
1003.625,0.000985065,-0.004835072,-0.001422493,-0.001638897,,,,,,,,,
1003.75,0.002853331,-0.000975524,0.002536407,0.002071922,,,,,,,,,
1003.875,-0.002754733,0.001228993,0.000555116,-0.000899973,,,,,,,,,
1004,-0.001509495,-0.004841649,0.001213909,-0.001643486,,,,,,,,,
1004.125,0.001604825,-0.002637132,-0.00010736,-0.001645015,,,,,,,,,
1004.25,-0.00151113,0.003980802,-0.000108588,-0.003874927,,,,,,,,,
1004.375,-0.001511947,-0.000434808,0.001870248,-0.002390058,,,,,,,,,
1004.5,-0.001512764,-0.000988677,0.001209,-0.000907621,,,,,,,,,
1004.625,-0.000890554,-0.000439192,-0.002752354,0.001319232,,,,,,,,,
1004.75,0.00097771,-0.000441384,-0.004073624,-0.001652663,,,,,,,,,
1004.875,-0.000892189,0.000659778,-0.000774746,-0.001654193,,,,,,,,,
1005,0.000353049,0.001209263,-0.000775973,-0.002397706,,,,,,,,,
1005.125,0.002221314,-0.002102993,-0.001437222,-0.003141218,,,,,,,,,
1005.25,-0.000271613,-0.000450153,-0.000118407,-0.001658782,,,,,,,,,
1005.375,0.000350597,-0.000452346,-0.002099698,-0.000918328,,,,,,,,,
1005.5,-0.000273247,9.71395E-05,0.001199181,-0.000177875,,,,,,,,,
1005.625,-0.00152012,0.001198302,-0.00078211,0.002048978,,,,,,,,,
1005.75,-0.002143964,-0.001562276,-0.000783337,-0.0016649,,,,,,,,,
1005.875,-0.002767809,-0.000461114,-0.002764628,-0.000182464,,,,,,,,,
1006,-0.000899544,-0.001566661,-0.006065962,-0.000925976,,,,,,,,,
1006.125,-0.002769444,-0.001017176,-0.004087125,-0.001669489,,,,,,,,,
1006.25,0.000967903,8.3986E-05,-0.001448268,0.000554931,,,,,,,,,
1006.375,0.001590114,0.001185148,0.000530569,-0.003900931,,,,,,,,,
1006.5,0.000343242,7.96016E-05,-0.002770765,-0.000932095,,,,,,,,,
1006.625,-0.00090363,0.002284118,0.001188135,0.002036741,,,,,,,,,
1006.75,-0.000904447,0.001730249,-0.000133135,0.002777194,,,,,,,,,
1006.875,-0.002774347,0.002831411,0.00118568,0.002033682,,,,,,,,,
1007,-0.000283054,-0.001032522,-0.001455632,-0.001680196,,,,,,,,,
1007.125,0.000962183,0.002827026,-0.002776901,0.002030622,,,,,,,,,
1007.25,0.002830449,-0.001036906,-0.002778129,0.002029093,,,,,,,,,
1007.375,0.002206604,-0.003245807,-0.001459314,0.000541164,,,,,,,,,
1007.5,0.001582759,6.20637E-05,0.000519522,-0.001686315,,,,,,,,,
1007.625,0.001581942,0.000611549,0.000518295,-0.000203878,,,,,,,,,
1007.75,-0.00215704,0.001161034,-0.000142954,-0.001689374,,,,,,,,,
1007.875,-0.002780885,-0.003254576,-0.000144181,-0.001690904,,,,,,,,,
1008,-0.000289592,0.001708326,0.001834655,0.002019915,,,,,,,,,
1008.125,-0.000913437,0.00446452,0.001173407,0.004988751,,,,,,,,,
1008.25,-0.001537282,0.000600588,0.0018322,-0.000211526,,,,,,,,,
1008.375,0.000330983,0.003356781,0.000510931,0.000528927,,,,,,,,,
1008.5,0.001576221,0.000596203,0.002489767,0.002013797,,,,,,,,,
1008.625,0.002198431,0.002249042,0.001168497,-0.000216115,,,,,,,,,
1008.75,0.002197614,0.001143496,-0.001472815,0.000524338,,,,,,,,,
1008.875,0.000327714,0.003348012,-0.001474042,0.001267225,,,,,,,,,
1009,0.000949924,0.000587434,-0.000815248,-0.000962687,,,,,,,,,
1009.125,0.00032608,3.35646E-05,-0.004116582,0.002748132,,,,,,,,,
1009.25,0.000325263,0.001134727,-0.000157682,-0.000223763,,,,,,,,,
1009.375,-0.000921609,0.002787566,0.000501112,-0.001709259,,,,,,,,,
1009.5,-0.001545454,0.002785374,0.001159906,-0.000226822,,,,,,,,,
1009.625,0.002814921,0.001679827,-0.000821385,-0.002454302,,,,,,,,,
1009.75,0.001568049,0.002229312,0.00049743,-0.005426196,,,,,,,,,
1009.875,-0.000301851,0.003330474,-0.000163819,-0.003199344,,,,,,,,,
1010,-0.000925696,-0.000533458,0.000494975,-0.000232941,,,,,,,,,
1010.125,-0.002795595,-0.000535651,0.000493748,-0.001718437,,,,,,,,,
